messages,Training_Testing
I'm home safe. Talk to u later today if possible.love u,0
Yea n he had jus had a baby 4 months ago too,0
Coming out to visit and pick up a package. Do we need to bring our own dinner?,0
Where are you guys staying? I will email you directions from there to my house tonight,0
Happy mother's day,0
"No, tue-thur is better next two weeks",0
Yes.,0
I'm on the first floor,0
I could,0
Incoming,0
"Oh, be there soon.",0
Probably any music store has someone who gives lessons,0
Hey u on the road whats ur eta ,0
We are at a table. What do you want in your pizza?,0
Well undelete it!?,0
Make people standard entities and link them to events,0
We doin food?,0
You got any fatties?,0
Jack Gable commented on your status:,0
Ok.,0
"Wait, i replied i do not have school tonight. I answered your question",0
I need some schmeck man,0
We won't be able to. But thanks. Joe can't meet me up to merge our code till 8 pm,0
What r u doing off today did u get the flyer?,0
Lol ok,0
ool; you know...,0
Nope,0
My wife is heading home from McDonalds then we will leave,0
I'll split a case with you.,0
I just went home. I could barely stay awake driving.,0
I know. I called help support and made them aware 30 minutes ago. Thanks,0
What time will u b here for dinner ,0
What u up to tnght,0
So Nate is gonna come out too! The day has finally arrived! :),0
I hope u r getting timmy tonight.,0
Sweet you wanna help me move some stuff for a little bit?,0
Is there anything I can do?  lucy,0
Sure,0
That is fine with me. Gives you time to relax a bit. If you want it can even be a later on as well.,0
Nope,0
Did u get a chance to send me ur screen shots?,0
"Hey, would you reset my password for database.",0
My bro made invite. I plan on leaving fb if google+ takes off,0
I will see if she can get it.,0
Ok. Remember there is tech support for the backup software.,0
Thank you.how do i change divine cod. HAve to go back to llobet.call latter,0
Sure,0
Love you too. I will keep you posted.,0
They may keep her,0
That is probably fine,0
How is Michael holding up?  Need to see your face and soon!  Love you!  lucy,0
I will call you soon.,0
Would like to see you before you both leave on vacation.,0
it has to get paid or it all comes due now.,0
"I will let steve know when he gets here, see if he's down (I don't see any reason why not). So long as we can chill outside on deck or in garage s'all kewl",0
Yep,0
It shows me the paper sizes that it will export but I can not change any of them it just gives me a error when I try,0
Thank you.,0
"Hey call Amanda asap, before 4pm",0
Call me when you have time,0
I'm in wheaton till pretty late won't make it. I glanced at the calendar the other day and noticed half the season is gone and I still haven't made a game,0
Yeah one of us,0
Who you bringing,0
chiva is a magical goat€ that I shoot up,0
Hey bonfire tonight 7:30pm,0
Believe me I have asked that same question one thousand times today alone,0
Not d/l updates,0
"Bob, is that you making all that noise down the street?",0
Remmberjuly,0
Well he has to deliver Monday up in Illinois.,0
But I have a side job for him but can't get in touch with him ,0
"crap kids use instead of ganja, messes you up",0
"I'm actually in maryland next week, so thur night would work best. Probably around 6:30 or later depending on where u want to go",0
"Lol, what do u mean set up his browser?",0
Yeah,0
I don't have it. I'll ask mike,0
"Send to me, I will submit them for you.",0
I have nothing else to feed the kids,0
What are you up to?,0
Me steve and jim r still kicking,0
K what time?,0
You are welcome son. Love and miss you.,0
"Want to crack open a bottle and pop some of yours, it's probably better than the shit i got",0
Ok.,0
I have lots,0
"Lucinda, according to Amanda - Tom is stable. They are going to put a camera down his throat to see what might have happened. No new blood, he is resting comfortably now. Unsure what time they are going to start the procedure. Her number is 773-555-1212 if you want to text her or call her. Love you.",0
Shot either. But recommended that I get one with the Purtussia boost in it if I decide to.,0
"Yes, but if u look at tabs the male and female can be events or other entity types",0
Samantha Smith commented on your status:,0
She is crying. She thinks it broke off.,0
Any word on internships?,0
"Some new stuff too, chiva",0
I am coming in,0
Kewl,0
Hey u wanna meet me an skip up for lunch?,0
I hope to have answer soon,0
"(2/4) om Amazon.  Worried about how I am going to get 4 hours of work on tomottow without the materials I need.  Oh well, guess I will get a lot of packing time",0
How about going to bar to do code? Susiewants your input.,0
"Nahh, we can still do 8:30. I was mostly giving ourselves extra padding, but now I'm confident we won't need it",0
"Yup got home a couple hours ago. Very fun bday, thanks!",0
"Forgot, will do so in half hour or so",0
Thanks again for trying to fix my netbook.  Hope timmy was happy with the pizzas.,0
OK. See you soon.,0
amber is going to her dads so I am free most of the day.,0
Yes. I will see you there. 6:46 is really early.,0
*you,0
What are you working today.,0
Question when there are two people arguing would you show two different event bubbles and link them together with the description of the event,0
(RE:)N thats y ill alwayz love u cuz u a bad bitch on my life xx,0
123 main st,0
Ok,0
Only because he hadn't met I yet. And the isn't sloppy. Ha,0
I will check later today. I am in a meeting.,0
"I have to admit, it was purely selfish on my part. I needed a lucy fix.",0
Stop confiding in Jack.,0
Is this the correct spelling for darlae?,0
K,0
so is acid for that matter,0
"no, bath salts are different from salvia",0
"Same, have't had any tests yet",0
The $20 was Bob's so I feel bad :-/,0
"Lol, well if you feel like hangin out at all, let me know!",0
Sorry that's all I had.,0
